"smpl" "percentage" "T1" "T2" "T3" "T4"
"1" 1 0 628 1376 2621 3586
"2" 1 1.69 645.898305084746 1373.5593220339 2618.96610169492 3553.05084745763
"3" 1 3.39 663.796610169491 1371.1186440678 2616.93220338983 3520.10169491525
"4" 1 5.08 678.169491525424 1370.66101694915 2610.71186440678 3490.23728813559
"5" 1 6.78 689.559322033898 1371.8813559322 2600.94915254237 3462.98305084746
"6" 1 8.47 700.474576271186 1373.06779661017 2591.08474576271 3436.81355932203
"7" 1 10.17 706.169491525424 1373.8813559322 2580.10169491525 3422.57627118644
"8" 1 11.86 711.864406779661 1374.69491525424 2569.1186440678 3408.33898305085
"9" 1 13.56 716.28813559322 1374.74576271186 2559.40677966102 3399.94915254237
"10" 1 15.25 719.949152542373 1374.33898305085 2550.45762711864 3395.06779661017
"11" 1 16.95 723.135593220339 1374.06779661017 2542.25423728814 3391.06779661017
"12" 1 18.64 723.949152542373 1374.47457627119 2537.77966101695 3391.47457627119
"13" 1 20.34 724.762711864407 1374.8813559322 2533.30508474576 3391.8813559322
"14" 1 22.03 724.135593220339 1374.71186440678 2528.25423728814 3392.86440677966
"15" 1 23.73 722.915254237288 1374.30508474576 2522.96610169492 3394.08474576271
"16" 1 25.42 721.593220338983 1373.69491525424 2517.57627118644 3394.49152542373
"17" 1 27.12 719.966101694915 1372.47457627119 2511.8813559322 3392.45762711864
"18" 1 28.81 718.338983050847 1371.25423728814 2506.18644067797 3390.42372881356
"19" 1 30.51 720.576271186441 1378.72881355932 2498.23728813559 3379.37288135593
"20" 1 32.2 723.830508474576 1388.49152542373 2489.69491525424 3365.94915254237
"21" 1 33.9 726.677966101695 1397.84745762712 2483.32203389831 3355.10169491525
"22" 1 35.59 728.71186440678 1406.38983050847 2481.28813559322 3349.40677966102
"23" 1 37.29 730.745762711864 1414.93220338983 2479.25423728814 3343.71186440678
"24" 1 38.98 726.728813559322 1418.13559322034 2491.45762711864 3353.32203389831
"25" 1 40.68 721.847457627119 1420.57627118644 2505.69491525424 3365.1186440678
"26" 1 42.37 716.966101694915 1426.40677966102 2517.05084745763 3371.15254237288
"27" 1 44.07 712.084745762712 1436.98305084746 2524.37288135593 3369.1186440678
"28" 1 45.76 707.203389830509 1447.5593220339 2531.69491525424 3367.08474576271
"29" 1 47.46 699.983050847458 1457.74576271186 2528.49152542373 3363.49152542373
"30" 1 49.15 692.661016949153 1467.91525423729 2524.83050847458 3359.83050847458
"31" 1 50.85 682.694915254237 1476.25423728814 2522.79661016949 3360.23728813559
"32" 1 52.54 670.084745762712 1482.76271186441 2522.38983050847 3364.71186440678
"33" 1 54.24 657.525423728814 1489.18644067797 2521.94915254237 3369.40677966102
"34" 1 55.93 646.135593220339 1493.66101694915 2520.72881355932 3379.16949152542
"35" 1 57.63 634.745762711864 1498.13559322034 2519.50847457627 3388.93220338983
"36" 1 59.32 624.067796610169 1502.61016949153 2518.05084745763 3397.74576271186
"37" 1 61.02 613.898305084746 1507.08474576271 2516.42372881356 3405.8813559322
"38" 1 62.71 603.93220338983 1512.22033898305 2513.57627118644 3413.5593220339
"39" 1 64.41 595.389830508475 1521.98305084746 2502.18644067797 3418.03389830508
"40" 1 66.1 586.847457627119 1531.74576271186 2490.79661016949 3422.50847457627
"41" 1 67.8 579.389830508475 1548.28813559322 2487.54237288136 3421.28813559322
"42" 1 69.49 572.474576271186 1568.22033898305 2488.35593220339 3417.22033898305
"43" 1 71.19 565.813559322034 1587.81355932203 2491.28813559322 3412.38983050847
"44" 1 72.88 560.118644067797 1606.1186440678 2502.27118644068 3404.66101694915
"45" 1 74.58 554.423728813559 1624.42372881356 2513.25423728814 3396.93220338983
"46" 1 76.27 549.338983050847 1640.28813559322 2514.47457627119 3391.03389830508
"47" 1 77.97 544.457627118644 1655.33898305085 2512.4406779661 3385.74576271186
"48" 1 79.66 539.694915254237 1669.08474576271 2509.22033898305 3383.54237288136
"49" 1 81.36 535.220338983051 1679.66101694915 2503.1186440678 3388.83050847458
