"sample" "diphtong" "speaker" "duration" "T1_min" "T2_min" "T1_max" "T2_max" "T1_first" "T2_first" "T1_last" "T2_last"
"1" 1 "aI" "M" 120 333 1370 731 1714 628 1376 628 1376
"2" 2 "aI" "M" 115 470 1215 720 1515 524 1250 524 1250
"3" 3 "aI" "M" 115 227 1159 657 1789 545 1159 545 1159
"4" 4 "aU" "M" 115 394 879 601 1372 456 1359 456 1359
"5" 5 "aI" "M" 185 221 1264 639 1793 357 1416 357 1416
"6" 6 "aI" "M" 145 348 1430 680 1879 580 1431 580 1431
"7" 7 "aU" "M" 140 320 876 560 1178 560 1062 560 1062
"8" 8 "OY" "M" 90 497 1061 614 1696 581 1061 581 1061
"9" 9 "OY" "M" 115 267 1021 635 1856 635 1021 635 1021
"10" 10 "aI" "M" 120 337 1302 807 1895 807 1328 807 1328
"11" 11 "aU" "M" 90 317 867 561 999 480 999 480 999
"12" 12 "aI" "M" 160 376 1052 701 1756 497 1052 497 1052
"13" 13 "OY" "M" 130 339 957 555 1529 433 1016 433 1016
"14" 14 "aI" "M" 90 441 1477 673 1744 466 1477 466 1477
"15" 15 "aI" "M" 180 308 1295 690 1821 530 1295 530 1295
"16" 16 "aI" "M" 165 406 1127 717 1961 522 1137 522 1137
"17" 17 "aI" "M" 90 305 1457 789 1867 789 1494 789 1494
"18" 18 "aI" "M" 90 377 1265 630 1551 377 1265 377 1265
"19" 19 "aU" "M" 130 293 820 727 1297 718 1297 718 1297
"20" 20 "aU" "M" 75 423 885 603 1059 560 1059 560 1059
"21" 21 "aI" "M" 90 281 1079 613 1523 516 1079 516 1079
"22" 22 "OY" "M" 125 373 950 516 1370 373 1099 373 1099
"23" 23 "aI" "M" 90 380 1076 571 1473 444 1076 444 1076
"24" 24 "aI" "M" 105 246 1344 682 1553 555 1488 555 1488
"25" 25 "aI" "M" 60 385 1229 506 1519 474 1229 474 1229
"26" 26 "aI" "M" 50 420 1520 583 1620 440 1620 440 1620
"27" 27 "aI" "M" 195 357 1198 627 1839 534 1232 534 1232
"28" 28 "aU" "M" 75 468 848 800 1002.33394495413 468 976 468 976
"29" 29 "OY" "M" 100 397 1017 641 1730 641 1020 641 1020
"30" 30 "aU" "M" 80 378 944 531 1087 494 976 494 976
"31" 31 "aI" "M" 120 471 1037 720 1498 526 1037 526 1037
"32" 32 "aI" "M" 105 395 1425 639 1620 417 1451 417 1451
"33" 33 "OY" "M" 115 148 1134 552 1787 448 1134 448 1134
"34" 34 "aI" "M" 70 407 1474 569 1544 500 1544 500 1544
"35" 35 "aI" "M" 100 450 1165 632 1521 480 1165 480 1165
"36" 36 "aI" "M" 105 443 1417 597 1785 443 1463 443 1463
"37" 37 "aI" "M" 100 425 1326 634 1979 599 1354 599 1354
"38" 38 "aI" "M" 80 382 1476 716 1780 685 1476 685 1476
