"sample" "diphtong" "speaker" "T4_0%" "T4_10%" "T4_20%" "T4_30%" "T4_40%" "T4_50%" "T4_60%" "T4_70%" "T4_80%" "T4_90%" "T4_100%"
"1" 1 "aI" "M" 3586 3422.57627118644 3391.8813559322 3379.37288135593 3365.1186440678 3360.23728813559 3405.8813559322 3412.38983050847 3388.83050847458 2938.18644067797 3561
"2" 2 "aI" "M" 3500 3502.64406779661 3519.59322033898 3525.27118644068 3551.05084745763 3577.72881355932 3074.1186440678 3204.57627118644 3147.96610169492 2998.45762711864 3020
"3" 3 "aI" "M" 3389 3407.47457627119 3435.64406779661 3537.98305084746 3627.18644067797 3555.05084745763 3364.74576271186 3412.30508474576 3662.35593220339 4014.98305084746 3766
"4" 4 "aU" "M" 3440 3419.22033898305 3371.76271186441 3333.59322033898 3287.72881355932 3274.30508474576 3253.62711864407 3219.16949152542 3175.89830508475 3152.13559322034 3092
"5" 5 "aI" "M" 3531 3374.13559322034 3283.59322033898 2862.06779661017 3343.54237288136 3383.83050847458 3229.8813559322 3311.5593220339 3261.42372881356 3458.49152542373 3445
"6" 6 "aI" "M" 3410 3364.32203389831 3302.33898305085 3279.54237288136 3188.57627118644 3310.64406779661 3450.59322033898 3200.61016949153 3491.61016949152 2788.47457627119 3006
"7" 7 "aU" "M" 3423 3380.25423728814 3406.50847457627 3399.57627118644 3210.28813559322 3208.23728813559 3214.76271186441 3244.35593220339 3459.57627118644 3583.71186440678 3528
"8" 8 "OY" "M" 3329 3191.45762711864 3231.91525423729 3237.5593220339 3056.13559322034 3175 3185.81355932203 3220.25423728814 3161.81355932203 3095.22033898305 3042
"9" 9 "OY" "M" 3298 3206.96610169492 3209.10169491525 3225.28813559322 3253.42372881356 3262.64406779661 3297.16949152542 3273.89830508475 3320.08474576271 3359.45762711864 3558
"10" 10 "aI" "M" 3485 3435.05084745763 3470.47457627119 3486.96610169492 3459.37288135593 3471.84745762712 3440.40677966102 3504.4406779661 3536.10169491525 3527.40677966102 3484
"11" 11 "aU" "M" 3356 3320.37288135593 3287.72881355932 3268.05084745763 3279.22033898305 3287.15254237288 3287.01694915254 3286.4406779661 3273.84745762712 3281 3339
"12" 12 "aI" "M" 3279 3295.83050847458 3324.35593220339 3261.08474576271 3194.67796610169 3245.71186440678 3357.22033898305 3359.72881355932 3197.57627118644 2882.96610169492 2919
"13" 13 "OY" "M" 3034 3360.67796610169 3243.01694915254 3134.74576271186 3058.62711864407 3029.20338983051 3037.06779661017 3006.94915254237 2857.64406779661 2781.03389830508 2613
"14" 14 "aI" "M" 3487 3396.45762711864 3413.42372881356 3382.10169491525 3325.86440677966 3389.54237288136 3461.57627118644 3474 3509.98305084746 3562.94915254237 3580
"15" 15 "aI" "M" 3351 3677.83794475574 3736.84745762712 3115.99952435643 3315.59322033898 3299.57627118644 3323.83050847458 3304.30508474576 3272.03389830508 3422.01694915254 3412
"16" 16 "aI" "M" 3286 3312.84745762712 3264.96610169492 3102.47457627119 3134.71186440678 3219.18644067797 3398.50847457627 3329.16949152542 3184.27118644068 3150.83050847458 3416
"17" 17 "aI" "M" 3309 3387.10169491525 3405.91525423729 3371.16949152542 3295 3038.77966101695 3006.57627118644 2786.06779661017 3584.4406779661 3599.84745762712 3611
"18" 18 "aI" "M" 3653 3507.98305084746 3516.32203389831 3480.57627118644 3474.06779661017 3452.23728813559 3460.77966101695 3460.54237288136 3420.1186440678 3385.49152542373 3291
"19" 19 "aU" "M" 3538 3550.33898305085 3535.4406779661 3562.98305084746 3359.30508474576 3393.22033898305 2918.91525423729 3170.67796610169 2897.23728813559 3385.47457627119 3523
"20" 20 "aU" "M" 3010 3014.15254237288 3019.28813559322 3085.62711864407 3135.42372881356 3148.62711864407 3140.5593220339 3109.37288135593 3059.01694915254 3060.08474576271 3048
"21" 21 "aI" "M" 2740 2696.23728813559 3191.35593220339 3494.40677966102 3522.1186440678 3550.4406779661 3581.69491525424 3619.59322033898 3672 3669.30508474576 2422
"22" 22 "OY" "M" 2926 3073.18644067797 3236.42372881356 2908.71186440678 2924.57627118644 2960.38983050847 2977.47457627119 2954.83050847458 2915.5593220339 2822.8813559322 3358
"23" 23 "aI" "M" 3295 3254.67796610169 3255.94915254237 3268.96610169492 3271 3278.83050847458 3296.86440677966 3312.69491525424 3247.77966101695 3836.22033898305 3801
"24" 24 "aI" "M" 3347.97193702943 3273.25423728814 3139.42372881356 3185.98305084746 3268.91525423729 3350.30508474576 3435.28813559322 3408.27118644068 3113.16949152542 3090.74576271186 3187
"25" 25 "aI" "M" 3237 3332 3396.06779661017 3436.84745762712 3455.69491525424 3447.4406779661 3399.25423728814 3339.59322033898 3305.27118644068 3359.98305084746 3429
"26" 26 "aI" "M" 3024 3332.98305084746 3388.81355932203 3354.69491525424 3344.93220338983 3279.59322033898 3168.54237288136 3096.74576271186 3196.33898305085 3289.49152542373 3370
"27" 27 "aI" "M" 3314 3241.94915254237 3247.86440677966 3344.06779661017 3385.40677966102 3445.54237288136 3457.45762711864 3360.32203389831 3341.40677966102 3373.67796610169 3436
"28" 28 "aU" "M" 3285 3243.30508474576 3306.74576271186 3061.1186440678 2932.67796610169 3281.96610169492 3261.84745762712 3254.89830508475 3232.57627118644 3223.35593220339 3231
"29" 29 "OY" "M" 3098 3077.13559322034 3078.76271186441 3136.62711864407 3172.98305084746 3194.16949152542 3206.81355932203 3175.81355932203 3234.05084745763 3266.13559322034 3308
"30" 30 "aU" "M" 3315 3311.1186440678 3319.28813559322 3327.76271186441 3327.54237288136 3329.35593220339 3069.52542372881 3220.69491525424 3330.64406779661 3406.64406779661 3591
"31" 31 "aI" "M" 3241 3277.94915254237 3261.76271186441 3350.33898305085 3438.69491525424 3410.52542372881 3372 3418.30508474576 3395.84745762712 3343.74576271186 3146
"32" 32 "aI" "M" 3744 3730.28813559322 3614.83050847458 3841.28813559322 3728.01694915254 3412.79661016949 3511.76271186441 3501.18644067797 3435.93220338983 3438.96610169492 3497
"33" 33 "OY" "M" 3186 2958.40677966102 2965.93220338983 2951.15254237288 3062.42372881356 3156.18644067797 3088.83050847458 3221.66101694915 3380.03389830508 3508.89830508475 3511
"34" 34 "aI" "M" 3347.97193702943 3228.06857388137 3076.01694915254 3212.30508474576 3285.08474576271 3271.94915254237 3294.18644067797 3337.91525423729 3377.86440677966 3426.47457627119 3452
"35" 35 "aI" "M" 3203 3108.47457627119 3270.71186440678 3320.81355932203 3310.62711864407 3310.83050847458 3316.22033898305 3269.42372881356 3161.35593220339 3167.83050847458 3160
"36" 36 "aI" "M" 3372 3467.93220338983 3497.61016949153 3561.93220338983 3517.93220338983 3407.30508474576 3474 3530.35593220339 3713.61016949153 3597.86440677966 3591
"37" 37 "aI" "M" 3803 3779.42372881356 3764.22033898305 3809.32203389831 3732.08474576271 3400.37288135593 3376.8813559322 3407.23728813559 3392.74576271186 3351.30508474576 3093
"38" 38 "aI" "M" 3513 3481.81355932203 3369.71186440678 3187.06779661017 3141.22033898305 3489.4406779661 3495.08474576271 3546.64406779661 3592.93220338983 3665.67796610169 3758
"39" 39 "aI" "M" 3258 3034.71186440678 3394.57627118644 3416.59322033898 2700.05084745763 3431.30508474576 3434.64406779661 3438.71186440678 3457.01694915254 3509.18644067797 3525
"40" 40 "aI" "M" 2994 3098.93220338983 3244.64406779661 3442.5593220339 3329.35593220339 3225.1186440678 3187.5593220339 3222.54237288136 3353.25423728814 3314.61016949153 3077
"41" 41 "aU" "M" 2889 3268.23728813559 3319.20338983051 3392.16949152542 3363.93220338983 3373.72881355932 3273.83050847458 3327.91525423729 3307.15254237288 3226.81355932203 3238
"42" 42 "aI" "M" 3400 3440.45762711864 3385.18644067797 3375.81355932203 3416.57627118644 3195.45762711864 3204.94915254237 3074.74576271186 3323.77966101695 3034.98305084746 3407
"43" 43 "aI" "M" 3707 3712.96610169492 3615.52542372881 3620.18644067797 2417.74576271186 3630.23728813559 3657.52542372881 3694.86440677966 2788.1186440678 2992.28813559322 2660
"44" 44 "OY" "M" 3221 3188.33898305085 3168.81355932203 3134.74576271186 3136.8813559322 3129.13559322034 3094.28813559322 2999.35593220339 2989.06779661017 3005.27118644068 3100
"45" 45 "aI" "M" 3661 3465.40677966102 3278.22033898305 3223.06779661017 3264.94915254237 3376.01694915254 3439.57627118644 3353.72881355932 3629.74576271186 3956.1186440678 3984
"46" 46 "aI" "M" 3277 3355.84745762712 3367.13559322034 3369.38983050847 3299.74576271186 3295.30508474576 3266.84745762712 3238.98305084746 3191.91525423729 3145.33898305085 3048
"47" 47 "aU" "M" 3236 3069.30508474576 2913.13559322034 3000.61016949153 3022.50847457627 3300.67796610169 3368.5593220339 3339.81355932203 3301.81355932203 3295.79661016949 3250
"48" 48 "aI" "M" 3402 3424.20338983051 3390.81355932203 3384.06779661017 3216.27118644068 3390.62711864407 3383.83050847458 3380.54237288136 3499.4406779661 3670.8813559322 3677
"49" 49 "aI" "M" 3308 3318.98305084746 3178.76271186441 3136.89830508475 3189.5593220339 3177.50847457627 3219.18644067797 3554.81355932203 3428.67796610169 3339.47457627119 3277
"50" 50 "aI" "M" 3243 3347.4406779661 3314.1186440678 3269.4406779661 3264.50847457627 3283.1186440678 3301.54237288136 3295.50847457627 3327.61016949153 3358.20338983051 3387
"51" 51 "aI" "M" 2930 3577.69491525424 3489.45762711864 3426.91525423729 3492.42372881356 3234.94915254237 3417 3328.38983050847 3302.5593220339 3322.45762711864 3343
"52" 52 "aU" "M" 3416 3202.91525423729 3247.42372881356 3254.8813559322 3280.77966101695 3267.57627118644 3271.91525423729 3274.01694915254 3113.30508474576 3179.69491525424 3236
"53" 53 "aI" "M" 3444 3445.64406779661 3419.01694915254 3429.40677966102 3407.74576271186 3397.10169491525 3503.74576271186 3571.42372881356 3595.08474576271 3607.74576271186 3602
"54" 54 "aU" "M" 3489 3319.81355932203 3281.94915254237 3277.40677966102 3308.94915254237 3336.30508474576 3334.4406779661 3302.32203389831 3450.76271186441 3490.45762711864 3649
"55" 55 "aI" "M" 3555 3448.01694915254 2829.61016949152 3392.22033898305 3301.89830508475 3256.66101694915 3201.42372881356 3260.50847457627 3293.84745762712 3398.77966101695 3347.97193702943
"56" 56 "aI" "M" 3292 3298.16949152542 3341.77966101695 3368.84745762712 3387.8813559322 3377.15254237288 3399.52542372881 3431.33898305085 3488.40677966102 3536.40677966102 3551
"57" 57 "aI" "M" 2963 3068.25423728814 3224.66101694915 3241.15254237288 3216.23728813559 3266.30508474576 3195.86440677966 3237.42372881356 3279.32203389831 3483.06779661017 3543
"58" 58 "aI" "M" 3594 3422.54237288136 3494.98305084746 3444.01694915254 3416.89830508475 3449.5593220339 3540.13559322034 3589.93220338983 3613.16949152542 3635.64406779661 3591
"59" 59 "OY" "M" 3096 3114.74576271186 3073.25423728814 3112.84745762712 3066.81355932203 3013.54237288136 3008.64406779661 3043.49152542373 3113.45762711864 3206.81355932203 3242
