"sample" "diphthong" "speaker" "T1_0." "T1_10." "T1_20." "T1_30." "T1_40." "T1_50." "T1_60." "T1_70." "T1_80." "T1_90." "T1_100." "T2_0." "T2_10." "T2_20." "T2_30." "T2_40." "T2_50." "T2_60." "T2_70." "T2_80." "T2_90." "T2_100." "T3_0." "T3_10." "T3_20." "T3_30." "T3_40." "T3_50." "T3_60." "T3_70." "T3_80." "T3_90." "T3_100." "T4_0." "T4_10." "T4_20." "T4_30." "T4_40." "T4_50." "T4_60." "T4_70." "T4_80." "T4_90." "T4_100."
"1" 1 "aI" "M" 628 706.169491525424 724.762711864407 720.576271186441 721.847457627119 682.694915254237 613.898305084746 565.813559322034 535.220338983051 504.508474576271 333 1376 1373.8813559322 1374.8813559322 1378.72881355932 1420.57627118644 1476.25423728814 1507.08474576271 1587.81355932203 1679.66101694915 1713.89830508475 1592 2621 2580.10169491525 2533.30508474576 2498.23728813559 2505.69491525424 2522.79661016949 2516.42372881356 2491.28813559322 2503.1186440678 2462.71186440678 2408 3586 3422.57627118644 3391.8813559322 3379.37288135593 3365.1186440678 3360.23728813559 3405.8813559322 3412.38983050847 3388.83050847458 2938.18644067797 3561
"2" 2 "aI" "M" 524 567.457627118644 615.101694915254 629.203389830509 653.915254237288 680.728813559322 719.033898305085 694.067796610169 586.728813559322 545.64406779661 470 1250 1218.98305084746 1217.25423728814 1231.18644067797 1260.20338983051 1279.1186440678 1355.66101694915 1420.96610169492 1493.74576271186 1511.20338983051 1502 2436 2493.71186440678 2512.35593220339 2503.64406779661 2477.64406779661 2493.5593220339 2434.98305084746 2402.74576271186 2363.37288135593 2300.38983050847 2283 3500 3502.64406779661 3519.59322033898 3525.27118644068 3551.05084745763 3577.72881355932 3074.1186440678 3204.57627118644 3147.96610169492 2998.45762711864 3020
"3" 3 "aI" "M" 545 616.440677966102 655.067796610169 643.033898305085 650.067796610169 621.915254237288 602.983050847458 527.694915254237 441.813559322034 318.033898305085 227 1159 1223.25423728814 1294.81355932203 1328.37288135593 1418.66101694915 1515.40677966102 1566.84745762712 1656.28813559322 1752.15254237288 1767.61016949153 1666 2437 2413.03389830508 2422 2427.1186440678 2444.5593220339 2467.86440677966 2478.16949152542 2508.06779661017 2535.98305084746 2531.18644067797 2554 3389 3407.47457627119 3435.64406779661 3537.98305084746 3627.18644067797 3555.05084745763 3364.74576271186 3412.30508474576 3662.35593220339 4014.98305084746 3766
"4" 4 "aU" "M" 456 529.491525423729 585.203389830509 595.101694915254 594.508474576271 579.135593220339 567.491525423729 521.542372881356 483.322033898305 441.93220338983 394 1359 1351.18644067797 1288.5593220339 1179.47457627119 1099.10169491525 1063.05084745763 1035.74576271186 959.169491525424 922.322033898305 882.796610169491 891 2283 2439.98305084746 2579.5593220339 2598.66101694915 2601.61016949153 2669.76271186441 2738.50847457627 2747.35593220339 2722.03389830508 2692.74576271186 2674 3440 3419.22033898305 3371.76271186441 3333.59322033898 3287.72881355932 3274.30508474576 3253.62711864407 3219.16949152542 3175.89830508475 3152.13559322034 3092
"5" 5 "aI" "M" 357 540.932203389831 624.152542372881 638.423728813559 632.796610169491 615.372881355932 583.661016949153 526.491525423729 465.135593220339 354.220338983051 221 1416 1373.8813559322 1299.1186440678 1264.28813559322 1295.06779661017 1369.52542372881 1478.13559322034 1592.18644067797 1746.03389830508 1786.08474576271 1778 2205 2416.64406779661 2451.37288135593 2416.40677966102 2387.18644067797 2361.98305084746 2295.93220338983 2262.62711864407 2273.91525423729 2450.8813559322 2537 3531 3374.13559322034 3283.59322033898 2862.06779661017 3343.54237288136 3383.83050847458 3229.8813559322 3311.5593220339 3261.42372881356 3458.49152542373 3445
"6" 6 "aI" "M" 580 678.983050847458 680 643.050847457627 620 600 636.915254237288 537.949152542373 521.728813559322 365.576271186441 348 1431 1439.15254237288 1448.86440677966 1499.94915254237 1516.32203389831 1567.77966101695 1602 1748.69491525424 1790.61016949153 1833.74576271186 1828 2478 2562.76271186441 2434.83050847458 2306.20338983051 2270.57627118644 2293.37288135593 2351.54237288136 2352.35593220339 2605.76271186441 2371.42372881356 2391 3410 3364.32203389831 3302.33898305085 3279.54237288136 3188.57627118644 3310.64406779661 3450.59322033898 3200.61016949153 3491.61016949152 2788.47457627119 3006
"7" 7 "aU" "M" 560 560 540 541 531.661016949153 519.28813559322 506.406779661017 486.474576271186 420 387.457627118644 320 1062 1011.84745762712 949.050847457627 908.864406779661 881.050847457627 878.661016949153 905.016949152542 946.847457627119 982.135593220339 1113.27118644068 1178 2847 2851.49152542373 2860.52542372881 2829.32203389831 2762.98305084746 2723.22033898305 2698.30508474576 2660 2660 2660 2600 3423 3380.25423728814 3406.50847457627 3399.57627118644 3210.28813559322 3208.23728813559 3214.76271186441 3244.35593220339 3459.57627118644 3583.71186440678 3528
"8" 8 "OY" "M" 581 588.915254237288 588.932203389831 604.033898305085 613.677966101695 593.338983050847 550.389830508475 519.542372881356 516 504.881355932203 502 1061 1095.47457627119 1133.16949152542 1199.08474576271 1283.98305084746 1331.40677966102 1484.96610169492 1545.71186440678 1603.1186440678 1665.57627118644 1696 2511 2473.35593220339 2479.28813559322 2445.5593220339 2369.06779661017 2380.66101694915 2354.79661016949 2326.50847457627 2377.64406779661 2335.18644067797 2310 3329 3191.45762711864 3231.91525423729 3237.5593220339 3056.13559322034 3175 3185.81355932203 3220.25423728814 3161.81355932203 3095.22033898305 3042
"9" 9 "OY" "M" 635 610.271186440678 611.389830508475 620 614.152542372881 570.372881355932 526.762711864407 481.203389830508 413.762711864407 353.474576271186 267 1021 1059.67796610169 1084.84745762712 1129.33898305085 1194.23728813559 1337.38983050847 1504.93220338983 1601.93220338983 1779.33898305085 1834.61016949153 1856 2694 2570.91525423729 2541.83050847458 2505.76271186441 2440.16949152542 2378.32203389831 2327.62711864407 2285.45762711864 2270.72881355932 2388.27118644068 2468 3298 3206.96610169492 3209.10169491525 3225.28813559322 3253.42372881356 3262.64406779661 3297.16949152542 3273.89830508475 3320.08474576271 3359.45762711864 3558
"10" 10 "aI" "M" 807 755.322033898305 727.898305084746 732.135593220339 659.016949152542 564.932203389831 531.983050847458 475.864406779661 400.491525423729 367.372881355932 337 1328 1317.16949152542 1360.62711864407 1422.93220338983 1504.8813559322 1568.15254237288 1682.05084745763 1809.16949152542 1895 1856.77966101695 1750 2422 2419.22033898305 2382.42372881356 2387.5593220339 2414.47457627119 2402.94915254237 2370.91525423729 2381.27118644068 2398.84745762712 2372.50847457627 2214 3485 3435.05084745763 3470.47457627119 3486.96610169492 3459.37288135593 3471.84745762712 3440.40677966102 3504.4406779661 3536.10169491525 3527.40677966102 3484
"11" 11 "aU" "M" 480 517.440677966102 539.610169491525 552.423728813559 560.322033898305 560 560 554.745762711864 535.338983050847 539.593220338983 317 999 980.033898305085 978.661016949153 972.559322033898 954.101694915254 943.694915254237 937.084745762712 922.237288135593 895.203389830509 893.423728813559 867 2365 2451.30508474576 2585.5593220339 2630.57627118644 2645.22033898305 2651.54237288136 2644.08474576271 2639.4406779661 2638.35593220339 2611.98305084746 2596 3356 3320.37288135593 3287.72881355932 3268.05084745763 3279.22033898305 3287.15254237288 3287.01694915254 3286.4406779661 3273.84745762712 3281 3339
"12" 12 "aI" "M" 497 607.305084745763 654.610169491525 680.813559322034 680.779661016949 616.627118644068 554.305084745763 475.64406779661 406.661016949153 421.847457627119 376 1052 1097.28813559322 1155.28813559322 1240.01694915254 1433.76271186441 1527.91525423729 1546.57627118644 1681.37288135593 1755.52542372881 1559.59322033898 1414 2520 2537.81355932203 2590.54237288136 2547.45762711864 2337.06779661017 2356.05084745763 2476.22033898305 2417.50847457627 2444.62711864407 2130.25423728814 2150 3279 3295.83050847458 3324.35593220339 3261.08474576271 3194.67796610169 3245.71186440678 3357.22033898305 3359.72881355932 3197.57627118644 2882.96610169492 2919
"13" 13 "OY" "M" 433 518.932203389831 530.593220338983 547.796610169491 551.610169491525 545.779661016949 530.898305084746 487.898305084746 436.64406779661 407.016949152542 339 1016 1002.33898305085 960.169491525424 993.118644067797 1041.98305084746 1134.96610169492 1254.18644067797 1378.91525423729 1507.50847457627 1528.38983050847 1387 2139 2869.20338983051 2825.45762711864 2678.69491525424 2569.22033898305 2457.84745762712 2374.05084745763 2268.32203389831 2247.49152542373 2187.64406779661 1958 3034 3360.67796610169 3243.01694915254 3134.74576271186 3058.62711864407 3029.20338983051 3037.06779661017 3006.94915254237 2857.64406779661 2781.03389830508 2613
