"Sample" "Diphtong" "Speaker" "Percentage...." "T1" "T2" "T3" "T4"
"1" 1 "aI" "M" 0 628 1376 2621 3586
"2" 1 "aI" "M" 10 706.169491525424 1373.8813559322 2580.10169491525 3422.57627118644
"3" 1 "aI" "M" 20 724.762711864407 1374.8813559322 2533.30508474576 3391.8813559322
"4" 1 "aI" "M" 30 720.576271186441 1378.72881355932 2498.23728813559 3379.37288135593
"5" 1 "aI" "M" 40 721.847457627119 1420.57627118644 2505.69491525424 3365.1186440678
"6" 1 "aI" "M" 50 682.694915254237 1476.25423728814 2522.79661016949 3360.23728813559
"7" 1 "aI" "M" 60 613.898305084746 1507.08474576271 2516.42372881356 3405.8813559322
"8" 1 "aI" "M" 70 565.813559322034 1587.81355932203 2491.28813559322 3412.38983050847
"9" 1 "aI" "M" 80 535.220338983051 1679.66101694915 2503.1186440678 3388.83050847458
"10" 1 "aI" "M" 90 504.508474576271 1713.89830508475 2462.71186440678 2938.18644067797
"11" 1 "aI" "M" 100 333 1592 2408 3561
"12" 2 "aI" "M" 0 524 1250 2436 3500
"13" 2 "aI" "M" 10 567.457627118644 1218.98305084746 2493.71186440678 3502.64406779661
"14" 2 "aI" "M" 20 615.101694915254 1217.25423728814 2512.35593220339 3519.59322033898
"15" 2 "aI" "M" 30 629.203389830509 1231.18644067797 2503.64406779661 3525.27118644068
"16" 2 "aI" "M" 40 653.915254237288 1260.20338983051 2477.64406779661 3551.05084745763
"17" 2 "aI" "M" 50 680.728813559322 1279.1186440678 2493.5593220339 3577.72881355932
"18" 2 "aI" "M" 60 719.033898305085 1355.66101694915 2434.98305084746 3074.1186440678
"19" 2 "aI" "M" 70 694.067796610169 1420.96610169492 2402.74576271186 3204.57627118644
"20" 2 "aI" "M" 80 586.728813559322 1493.74576271186 2363.37288135593 3147.96610169492
"21" 2 "aI" "M" 90 545.64406779661 1511.20338983051 2300.38983050847 2998.45762711864
"22" 2 "aI" "M" 100 470 1502 2283 3020
"23" 3 "aI" "M" 0 545 1159 2437 3389
"24" 3 "aI" "M" 10 616.440677966102 1223.25423728814 2413.03389830508 3407.47457627119
"25" 3 "aI" "M" 20 655.067796610169 1294.81355932203 2422 3435.64406779661
"26" 3 "aI" "M" 30 643.033898305085 1328.37288135593 2427.1186440678 3537.98305084746
"27" 3 "aI" "M" 40 650.067796610169 1418.66101694915 2444.5593220339 3627.18644067797
"28" 3 "aI" "M" 50 621.915254237288 1515.40677966102 2467.86440677966 3555.05084745763
"29" 3 "aI" "M" 60 602.983050847458 1566.84745762712 2478.16949152542 3364.74576271186
"30" 3 "aI" "M" 70 527.694915254237 1656.28813559322 2508.06779661017 3412.30508474576
"31" 3 "aI" "M" 80 441.813559322034 1752.15254237288 2535.98305084746 3662.35593220339
"32" 3 "aI" "M" 90 318.033898305085 1767.61016949153 2531.18644067797 4014.98305084746
"33" 3 "aI" "M" 100 227 1666 2554 3766
"34" 4 "aU" "M" 0 456 1359 2283 3440
"35" 4 "aU" "M" 10 529.491525423729 1351.18644067797 2439.98305084746 3419.22033898305
"36" 4 "aU" "M" 20 585.203389830509 1288.5593220339 2579.5593220339 3371.76271186441
"37" 4 "aU" "M" 30 595.101694915254 1179.47457627119 2598.66101694915 3333.59322033898
