"sample" "observation" "time" "diphtong" "speaker" "T1" "T2" "T3" "T4" "T2/T1" "T_AVG"
"1" 1 1 1212.5 "aI" "M" 628 1376 2621 3586 2.19108280254777 2052.75
"2" 1 2 1217.5 "aI" "M" 672 1370 2616 3505 2.03869047619048 2040.75
"3" 1 3 1222.5 "aI" "M" 700 1373 2592 3438 1.96142857142857 2025.75
"4" 1 4 1227.5 "aI" "M" 714 1375 2565 3403 1.92577030812325 2014.25
"5" 1 5 1232.5 "aI" "M" 723 1374 2543 3391 1.90041493775934 2007.75
"6" 1 6 1237.5 "aI" "M" 725 1375 2532 3392 1.89655172413793 2006
"7" 1 7 1242.5 "aI" "M" 722 1374 2519 3395 1.90304709141274 2002.5
"8" 1 8 1247.5 "aI" "M" 718 1371 2505 3390 1.90947075208914 1996
"9" 1 9 1252.5 "aI" "M" 726 1395 2484 3357 1.92148760330579 1990.5
"10" 1 10 1257.5 "aI" "M" 731 1416 2479 3343 1.93707250341997 1992.25
"11" 1 11 1262.5 "aI" "M" 719 1422 2514 3372 1.97774687065369 2006.75
"12" 1 12 1267.5 "aI" "M" 707 1448 2532 3367 2.04809052333805 2013.5
"13" 1 13 1272.5 "aI" "M" 689 1473 2523 3358 2.13788098693759 2010.75
"14" 1 14 1277.5 "aI" "M" 658 1489 2522 3369 2.2629179331307 2009.5
"15" 1 15 1282.5 "aI" "M" 630 1500 2519 3393 2.38095238095238 2010.5
"16" 1 16 1287.5 "aI" "M" 605 1511 2515 3413 2.49752066115702 2011
"17" 1 17 1292.5 "aI" "M" 584 1535 2487 3424 2.62842465753425 2007.5
"18" 1 18 1297.5 "aI" "M" 567 1584 2489 3414 2.79365079365079 2013.5
"19" 1 19 1302.5 "aI" "M" 553 1629 2516 3395 2.94575045207957 2023.25
"20" 1 20 1307.5 "aI" "M" 541 1666 2511 3382 3.07948243992606 2025
"21" 1 21 1312.5 "aI" "M" 530 1692 2496 3395 3.19245283018868 2028.25
"22" 1 22 1317.5 "aI" "M" 519 1711 2483 3086 3.29672447013487 1949.75
"23" 1 23 1322.5 "aI" "M" 504 1714 2462 2933 3.40079365079365 1903.25
"24" 1 24 1327.5 "aI" "M" 461 1687 2415 2848 3.65943600867679 1852.75
"25" 1 25 1332.5 "aI" "M" 333 1592 2408 3561 4.78078078078078 1973.5
"26" 2 26 2422.5 "aI" "M" 524 1250 2436 3500 2.38549618320611 1927.5
"27" 2 27 2427.5 "aI" "M" 541 1223 2486 3511 2.26062846580407 1940.25
"28" 2 28 2432.5 "aI" "M" 560 1220 2491 3504 2.17857142857143 1943.75
"29" 2 29 2437.5 "aI" "M" 582 1217 2499 3500 2.09106529209622 1949.5
"30" 2 30 2442.5 "aI" "M" 609 1222 2511 3504 2.00656814449918 1961.5
"31" 2 31 2447.5 "aI" "M" 618 1215 2513 3527 1.96601941747573 1968.25
"32" 2 32 2452.5 "aI" "M" 624 1221 2514 3520 1.95673076923077 1969.75
"33" 2 33 2457.5 "aI" "M" 629 1231 2504 3525 1.9570747217806 1972.25
"34" 2 34 2462.5 "aI" "M" 641 1242 2483 3541 1.93759750390016 1976.75
"35" 2 35 2467.5 "aI" "M" 650 1257 2478 3545 1.93384615384615 1982.5
"36" 2 36 2472.5 "aI" "M" 661 1266 2477 3562 1.91527987897126 1991.5
"37" 2 37 2477.5 "aI" "M" 671 1268 2488 3568 1.88971684053651 1998.75
"38" 2 38 2482.5 "aI" "M" 685 1284 2496 3582 1.87445255474453 2011.75
"39" 2 39 2487.5 "aI" "M" 711 1321 2462 3613 1.85794655414909 2026.75
"40" 2 40 2492.5 "aI" "M" 719 1354 2436 3075 1.88317107093185 1896
"41" 2 41 2497.5 "aI" "M" 720 1403 2406 3049 1.94861111111111 1894.5
"42" 2 42 2502.5 "aI" "M" 706 1415 2402 3108 2.0042492917847 1907.75
"43" 2 43 2507.5 "aI" "M" 674 1431 2404 3367 2.12314540059347 1969
"44" 2 44 2512.5 "aI" "M" 633 1461 2389 3348 2.30805687203791 1957.75
"45" 2 45 2517.5 "aI" "M" 568 1507 2353 3067 2.65316901408451 1873.75
"46" 2 46 2522.5 "aI" "M" 546 1509 2312 3002 2.76373626373626 1842.25
"47" 2 47 2527.5 "aI" "M" 546 1511 2301 2998 2.76739926739927 1839
"48" 2 48 2532.5 "aI" "M" 539 1515 2289 3007 2.81076066790353 1837.5
"49" 2 49 2537.5 "aI" "M" 470 1502 2283 3020 3.19574468085106 1818.75
"50" 3 50 637.5 "aI" "M" 545 1159 2437 3389 2.12660550458716 1882.5
"51" 3 51 642.5 "aI" "M" 585 1179 2418 3393 2.01538461538462 1893.75
"52" 3 52 647.5 "aI" "M" 610 1208 2411 3399 1.98032786885246 1907
