"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 15833724211651481600 15986392997.7734 6.76317283473375e+20 7120627294360320000 4.08916911265024e+39 64074910235270.6 13921100058.5035 2.15688991773336e+36 32977.7921415277 1.48931111024201e+23 0.599879209023367
"2" 10325488039269838848 14366855999.2936 6.41548082464821e+20 7210051296824279040 3.57358258931793e+39 60982806308324.5 12559593425.6115 1.44837924170166e+36 30482.3355028427 9.18811218583929e+22 0.599879080494629
"3" 10350269416485273600 12958816588.4153 5.08307526143278e+20 6027145863970587648 3.04236296116966e+39 58360689337598.4 13269699126.1393 2.32225045171395e+36 33572.2846172318 1.8086487906776e+23 0.599879338294561
"4" 5770236826510278656 13019721406.1707 5.48783349578568e+20 5875195920224862208 2.28947322216345e+39 48452201764905.7 10449274121.1639 7.476975921317e+35 28913.0904485258 1.43936688035375e+23 0.599879324257851
"5" 11409631636742637568 15651855596.0226 5.25666917812319e+20 4487385091980771328 1.2570589945167e+39 42755649825235.1 11261646112.787 1.14706952130554e+36 34843.9842521094 1.13968230183591e+23 0.59987919259172
"6" 9983679071654168576 13063303017.6215 4.57772390424176e+20 5481659841336554496 2.62318998086988e+39 52119447771418.3 11554443739.7778 1.31212977597287e+36 31110.7759453013 1.14338022322871e+23 0.599879001149053
"7" 12586467744806746112 15178902162.2661 7.79511624462166e+20 7969534147272551424 1.77590280049847e+39 47937966007911.7 13237075372.3448 1.5493725737709e+36 31926.8605637983 5.33148672199742e+22 0.599878921420864
"8" 12528236005846691840 14206073151.708 5.51974509683157e+20 6653323042711305216 3.52328064294005e+39 59279437449392.9 13840884846.7023 2.17130515080746e+36 31663.0725888726 1.19762774052594e+23 0.599879139306427
"9" 12268948697468413952 16495093953.7921 8.39766069122132e+20 7866626458102089728 4.01756390485395e+39 60113463565341.2 13503907947.1609 1.95793384481986e+36 31688.7893650667 1.43219031879842e+23 0.599879080494629
"10" 1.1382765404143e+19 14576762029.4705 6.75569879161733e+20 6940432150789066752 2.78056621438789e+39 47142655202366.5 11058489726.5503 1.06237811054073e+36 29833.2567737734 1.06752304360417e+23 0.599879151652086
"11" 7178427386883328000 10295904434.5198 3.11412678900755e+20 3931448053672752128 1.20364615445811e+39 39444813547331.1 10246231429.6732 9.76238533865955e+35 30358.7386409561 1.05855518003794e+23 0.599879101235455
"12" 16589203326855434240 17154973187.6688 8.05343758295922e+20 7182200225592114176 3.94326437668633e+39 60884374807762 13789234522.7291 2.5704895344176e+36 33560.9137170735 1.81836522666337e+23 0.599879309119436
"13" 2493918404658648576 7599263371.667 4.09687916612268e+20 4839050437993367552 1.71490258846027e+39 48970643094702.4 11676589630.0428 1.44030473980814e+36 32054.8781457733 1.4431787239507e+23 0.599878784837101
"14" 7233551695193694208 11019676357.4942 3.72389597165177e+20 4783188042193488896 1.93403570894299e+39 46386000440201.5 10972690339.7345 9.89277263867971e+35 30266.9518636628 1.23583262941196e+23 0.599879198426622
"15" 4536150222573502976 8654199572.14411 2.03717999058026e+20 3258102094652406784 1.08490982327418e+39 41893571478818.1 11136678042.0334 1.3788863914886e+36 30089.8695097149 8.49612392218636e+22 0.599879143440395
"16" 12851294238200266752 15214222408.5337 6.4190577918749e+20 7056446073457901568 3.90151096251316e+39 58858908584457.5 13343658738.7182 2.08032129885331e+36 32378.8736854769 1.45744355023734e+23 0.599879209980312
"17" 4.315365612474e+18 9628043972.01421 2.70971501777762e+20 3856778577534738432 1.42757101167818e+39 44957657866030.2 10894791503.148 9.31033492376085e+35 28396.2898481198 6.72746460682752e+22 0.599878947010392
"18" 6260465884381704192 10778385662.4103 3.71277766798131e+20 4777771611269670912 1.83952256024146e+39 44901956032076.2 10410470424.4359 1.33022756258977e+36 29891.9183677263 1.02918080156972e+23 0.599879167853732
"19" 10525123043415883776 13519578627.5163 5.29399238535035e+20 5452296804578733056 2.26565188391914e+39 52892799166454.5 11675288372.5004 1.32202979268837e+36 30382.0710061977 9.84777272569758e+22 0.599879051355209
"20" 9887760806431678464 12752118975.8067 4.06194214710037e+20 4428874235764745728 1.56026767503077e+39 46969538470295.4 11371964588.832 1.22727214678379e+36 30544.6341193333 1.01965109965898e+23 0.599879083800081
"21" 12240415635537594368 13370577148.2657 4.10933688089763e+20 4121325087566237184 1.30203966093303e+39 43506084744404.3 11278922545.1491 1.44927894415381e+36 31655.8124017528 1.3997927989485e+23 0.599879214749187
"22" 10375100066166114304 13436888762.8198 5.30687369997937e+20 6143228117923538944 2.31097105837716e+39 49993034408987.6 11663061373.7332 1.1231968812517e+36 30028.419233114 1.07567728285915e+23 0.599879084899329
