"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1" 6.25820775372905e+46 4957815990245832704 8.87141393987115e+25 269743031782513 5.16872489147392e+47 4.08652587335776e+59 1.78545015794447e+47 7.83260930273815e+33 72220843831841.8 909411919345834752 54.5119600001906
"2" 5.85182914460147e+46 4654942211650255872 9.59077153265922e+25 293321161198257 3.71172240815634e+47 2.8714895953525e+59 1.51302471679122e+47 8.46396097875921e+33 102860440479254 1804722274506855936 57.4823162510766
"3" 4.47657591407244e+46 4219127275977111552 7.32209133669192e+25 247787775135901 4.9859704448466e+47 4.37315705209117e+59 2.05512622270766e+47 9.6216630955279e+33 81882508423058.8 1126426604298338304 56.2241699993365
"4" 9.15755599660621e+46 6097768891490634752 1.27219012264316e+26 358521150841936 6.97140228802283e+47 7.57791495418582e+59 4.00128560413138e+46 6.7350155755481e+33 49409217992090 1331720262890703616 57.4495735229972
"5" 1.02453392141523e+46 2478079090641833472 3.8310525808788e+25 193833121494775 2.67433066882781e+47 2.07542049665728e+59 1.09677572302541e+47 5.54618759515606e+33 61851418168427 776270419272129920 54.1982047240972
"6" 3.35036065442885e+46 3707922217533722112 7.65039914398955e+25 187335901235690 1.0565965730005e+47 4.25523810814431e+59 1.84861222920958e+47 8.74154729710668e+33 77699269843565.5 1024677755550476544 55.4854505357335
"7" 3.78964169594853e+46 4154859318299005952 7.87386048791107e+25 267731723366091 6.10948317155787e+47 5.45385415926097e+59 8.00257749121502e+46 7.86960633801975e+33 87915919668312.4 1376805035944775680 57.8924493298276
"8" 5.87541744465814e+45 3867421276349966336 7.87233179916009e+25 290598604506869 7.10598858878076e+47 6.85866961195328e+59 1.94440517723677e+47 1.08999926243939e+34 85380981824202 1030562111514562432 55.5337872023966
"9" 2.73298754725605e+46 2737944113357536256 2.91815406547992e+25 172008783202327 1.60670455608343e+47 4.6953224842926e+59 2.88044747300765e+47 1.12938948304562e+34 84812671867856.6 1153826010449421056 55.6165006104306
"10" 5.69171505003738e+46 3460980498250467840 6.66646104167733e+25 243546739275489 5.0190078715243e+47 3.94356126280256e+59 1.92879174598691e+47 9.26592008032485e+33 66516409623753 952693036056549120 55.5199832962587
"11" 7.58045504773306e+46 4215219999218314752 7.2247682003292e+25 250834917215083 5.65195475579722e+47 5.65430219832468e+59 2.50350083784278e+47 1.00942829639354e+34 101781589569577 1567656807451993344 58.2661336808154
"12" 4.45853225354021e+46 4436170127904518144 8.40297857301173e+25 251106786827777 3.52252062240229e+47 1.59305194514436e+59 9.01996537563765e+46 8.4415562983187e+33 69725830440799.6 1393016835620118272 56.8419297758053
"13" 4.66077000828329e+46 4149014236892973056 7.13446240874245e+25 240272472976399 4.35129047656596e+47 3.26336082351272e+59 1.56176562628052e+47 8.01623910712271e+33 76155050974917.5 1029955103899291776 54.9634624092379
"14" 8.00322418728605e+46 6130983272623514624 1.2519693013593e+26 277472606434714 7.71807126849853e+47 3.54209787662489e+59 1.60823366204396e+47 1.26719943357685e+34 86261637305399.4 1084888340589298176 56.1020823993909
"15" 7.15050703935413e+46 5586484400884725760 1.04271922204999e+26 292627775827250 7.44917760817105e+47 5.71025397733386e+59 2.10293794566765e+47 8.48333346937033e+33 82367216587589.6 1346637078325821952 58.0668645434707
"16" 6.50930623253055e+46 4931382217357604864 8.54835435623499e+25 263570729609843 4.67662534219312e+47 3.44231639622328e+59 1.89209014034191e+47 8.5652231085292e+33 79226086381659.6 1460613131133252864 57.3840021355198
"17" 8.06537178404218e+46 4801595169144633344 8.24001363322144e+25 267801691277968 6.33592332367907e+47 6.05760517369919e+59 2.62502208735463e+47 1.1317291317082e+34 68178440913080.9 1.040226446045e+18 53.4233877485481
"18" 4.49468718882363e+46 2494755059735131136 8.37196931751899e+25 278354486964008 6.69140059515522e+47 7.27766801660151e+59 2.88844482212644e+47 1.08426999041401e+34 85516718155713.9 1220432871701214976 57.1139512099261
"19" 6.71686884212099e+46 4504846570765619712 7.46013905235367e+25 244774515680397 3.9606183330667e+47 3.91919937491208e+59 1.40223500850124e+47 4.9926384850446e+33 51847917505279.7 418717805005636672 55.8293103641015
"20" 4.1450469842424e+46 4442961909486577152 7.86224891657954e+25 240782680708838 4.42410134859045e+47 3.52135319583137e+59 1.16332900205124e+47 5.91269808670675e+33 65997055638281.7 860876327203427072 55.0614754117462
"21" 4.04517524919966e+46 3384128918788174336 5.28825126682242e+25 272515638368332 8.85695612539432e+47 6.24111081876302e+59 1.81606053470964e+47 6.22470426377274e+33 75957878717140.2 1074229744333428096 55.7058948998702
"22" 3.3781104021939e+46 4461652191144562688 7.42839591528977e+25 229499305230720 2.2340435870972e+47 4.96622133683833e+58 3.55842383931676e+46 4.31416501771547e+33 59568008363943.5 802905755841719808 55.1801335955175
