"T3_0." "T3_10." "T3_20." "T3_30." "T3_40." "T3_50." "T3_60." "T3_70." "T3_80." "T3_90." "T3_100."
"101" 2685 2762.64406779661 2869.16949152542 2771.32203389831 2660.76271186441 2761.05084745763 2726 2756.1186440678 2759.83050847458 2757.42372881356 2772
"102" 2821 2897.49152542373 2904.49152542373 2745.76271186441 2752.18644067797 2728.27118644068 2712.69491525424 2763.54237288136 2965.71186440678 2940.40677966102 3223
"106" 2963 3161.23728813559 3396.10169491525 3199.13559322034 3161.76271186441 2729.83050847458 2729.61016949153 2726.06779661017 2660.83050847458 2542.18644067797 2426
"115" 2975 3023.76271186441 3029.10169491525 2668.1186440678 2643.45762711864 2820.45762711864 2770.66101694915 2695.93220338983 2575.83050847458 2529.93220338983 2494
"122" 2973 2992.23728813559 2854.38983050847 2711.8813559322 2703.23728813559 2720.38983050847 2779.79661016949 2838.25423728814 2901.32203389831 3001.74576271186 2950
"126" 2889 2852.28813559322 2878.8813559322 2793.61016949153 2819.84745762712 3646.67796610169 3408.74576271186 3671.64406779661 2738.49152542373 3427.54237288136 2943
"137" 2933 2725.54237288136 3593.93220338983 2662.22033898305 2690.5593220339 2337.83050847458 2687.30508474576 2816.8621206149 2821.30508474576 2869.37288135593 3097
"152" 2956 2777.27118644068 2762.38983050847 2859.03389830508 2771.52542372881 2690.50847457627 2707.35593220339 2503.77966101695 3314.67796610169 2920.22033898305 3157
"166" 2970 3008.05084745763 3053.1186440678 2935.98305084746 2856.1186440678 2791.64406779661 2735.35593220339 3545.18644067797 2755.32203389831 2824.54237288136 3035
"170" 2770 3567.59322033898 2786.59322033898 2897.91525423729 2902.01694915254 2807.27118644068 2668.76271186441 2632.89830508475 3180.08474576271 2730.47457627119 2880
"177" 2559 2878.4406779661 2899.49152542373 2800.8813559322 2706.25423728814 2689.45762711864 2611.49152542373 2584.03389830508 3191.40677966102 3221.94915254237 3635
"180" 2846 2689.23728813559 2816.23728813559 2848.86440677966 2743.52542372881 2696.03389830508 2702.72881355932 2630.30508474576 2615.01694915254 2595.33898305085 2658
