"T2_0." "T2_10." "T2_20." "T2_30." "T2_40." "T2_50." "T2_60." "T2_70." "T2_80." "T2_90." "T2_100."
"8" 1061 1095.47457627119 1133.16949152542 1199.08474576271 1283.98305084746 1331.40677966102 1484.96610169492 1545.71186440678 1603.1186440678 1665.57627118644 1696
"9" 1021 1059.67796610169 1084.84745762712 1129.33898305085 1194.23728813559 1337.38983050847 1504.93220338983 1601.93220338983 1779.33898305085 1834.61016949153 1856
"13" 1016 1002.33898305085 960.169491525424 993.118644067797 1041.98305084746 1134.96610169492 1254.18644067797 1378.91525423729 1507.50847457627 1528.38983050847 1387
"22" 1099 1064.15254237288 987.203389830509 950.372881355932 959.35593220339 1009.33898305085 1087.32203389831 1155.06779661017 1220.23728813559 1331.72881355932 1370
"29" 1020 1031.54237288136 1070.76271186441 1125.66101694915 1199.28813559322 1275.06779661017 1335.69491525424 1546.84745762712 1636.22033898305 1709.84745762712 1725
"33" 1134 1185.35593220339 1172.89830508475 1166.1186440678 1194.76271186441 1249.45762711864 1348.45762711864 1477.72881355932 1713.8813559322 1742.38983050847 1703
"44" 959 969 962 994.237288135593 1025.66101694915 1068.72881355932 1112.38983050847 1203.01694915254 1294.89830508475 1450.67796610169 1438
"59" 1320 1161.77966101695 1061.50847457627 1070.42372881356 1087.98305084746 1141.10169491525 1201.79661016949 1357.33898305085 1445.5593220339 1568.08474576271 1504
"73" 1305 1226.49152542373 1108.93220338983 1085.94915254237 1057.05084745763 1166.4406779661 1193.72881355932 1230.79661016949 1246.89830508475 1214.96610169492 1114
"77" 1211 1159.98305084746 1127.66101694915 1137.77966101695 1175.05084745763 1220.54237288136 1266.72881355932 1386.30508474576 1505.35593220339 1550.06779661017 1831
"84" 1016 1035.49152542373 1077.25423728814 1099.15254237288 1136.62711864407 1192.27118644068 1248.40677966102 1311.50847457627 1353.30508474576 1401.91525423729 1414
"87" 1135 1116.54237288136 1110.40677966102 1104.13559322034 1139.22033898305 1184.10169491525 1225.5593220339 1260.15254237288 1317.76271186441 1329.06779661017 1122
